_id,article_link_list,article_mall,article_referrals,article_date_full,article_price,article_worthy,article_is_sold_out,article_id,article_channel,article_tese_tags,article_comment,article_unworthy,article_author,article_item_title_mode,taobao_url,timesort,top_category,create_date,article_channel_url,article_link,article_category,link_nofollow,article_mall_url,is_black_five,article_is_timeout,article_url,article_channel_id,article_date,article_title,article_collection,article_link_domain,price,action
6451546,?,美国亚马逊,汪琛1234,'2016-09-25 11:55:00',$54.76+$15.52含税直邮（约￥470）,25,0,6451546,海淘,?,8,4,733,0,?,147477572075,服饰鞋包,'2016-09-27 20:41:58',http://haitao.smzdm.com/,http://go.smzdm.com/350242eb24f9dab3/ca_aa_ht_57_6451546_733_2115_133,?,'rel= nofollow',http://www.smzdm.com/mall/amazon/,0,0,http://www.smzdm.com/p/6451546/,3,'09-25 11:55','REBECCA MINKOFF Regan 女士真皮斜挎包',32,amazon.com,470,view
6451946,?,聚划算,蚀忆,'2016-09-25 11:52:00',79元包邮,46,0,6451946,国内,?,45,43,857,0,?,147477556974,食品保健,'2016-09-27 20:41:58',http://www.smzdm.com/youhui/,http://detail.tmall.com/item.htm?id=41947114488,?,'rel= nofollow',http://www.smzdm.com/mall/taobao_ju/,0,0,http://www.smzdm.com/p/6451946/,3,'09-25 11:52','Nestlé 雀巢 咖啡1+2原味 100包*15g 赠杯子',22,tmall.com,79,view
6451528,?,京东,徐伟1982,'2016-09-25 11:52:00',529元包邮（549-20）,103,0,6451528,国内,?,100,59,263,0,?,147477552473,电脑数码,'2016-09-27 20:41:58',http://www.smzdm.com/youhui/,http://go.smzdm.com/cc7788029c42edda/ca_aa_yh_163_6451528_263_1773_183,?,'rel= nofollow',http://www.smzdm.com/mall/jd/,0,0,http://www.smzdm.com/p/6451528/,3,'09-25 11:52','移动端：Logitech 罗技 MX MASTER 蓝牙优联双模 无线鼠标',41,jd.com,529,view
6451245,?,亚马逊中国,幽冥小术士,'2016-09-25 11:46:00',139元包邮,32,0,6451245,国内,?,29,7,417,0,?,147477516572,母婴用品,'2016-09-27 20:41:58',http://www.smzdm.com/youhui/,http://go.smzdm.com/8c3d2ed2342b3dc0/ca_aa_yh_75_6451245_417_2111_2067,?,'rel= nofollow',http://www.smzdm.com/mall/amazon_cn/,0,0,http://www.smzdm.com/p/6451245/,3,'09-25 11:46','Munchkin 满趣健 Mozart Magic 八音盒（新版）',89,amazon.cn,139,view
6451890,?,网易考拉海购,?,'2016-09-25 11:45:00',全场满199-100,39,0,6451890,跨境,?,44,12,739,0,?,147477514371,食品保健,'2016-09-27 20:41:58',http://www.smzdm.com/kuajing/,http://go.smzdm.com/3ee3e661aa3653f0/ca_aa_yh_95_6451890_739_0_97,?,'rel= nofollow',http://www.smzdm.com/mall/kaola/,0,0,http://www.smzdm.com/p/6451890/,3,'09-25 11:45','再补券：网易考拉海购 保健品类优惠券',38,kaola.com,0,view
6451324,?,亚马逊海外购,aa萤火虫aa,'2016-09-25 11:32:00',199元包邮（Z秒杀）,9,0,6451324,国内,?,4,9,829,0,?,147477434870,玩模乐器,'2016-09-27 20:41:58',http://www.smzdm.com/youhui/,http://go.smzdm.com/b10db1d8063179e3/ca_aa_yh_93_6451324_829_723_999,?,'rel= nofollow',http://www.smzdm.com/mall/amazon_b/,0,0,http://www.smzdm.com/p/6451324/,3,'09-25 11:32','Fisher-Price 费雪 IMAGINEXT  超人大战蝙蝠侠 CHH91 变形蝙蝠洞套装',5,amazon.cn,199,dislike
6451194,?,京东,k1mi,'2016-09-25 11:31:00',1799元包邮,202,0,6451194,国内,?,198,41,569,0,?,147477427669,电脑数码,'2016-09-27 20:41:58',http://www.smzdm.com/youhui/,http://go.smzdm.com/fd5734dabe6e390f/ca_aa_yh_163_6451194_569_1677_1519,?,'rel= nofollow',http://www.smzdm.com/mall/jd/,0,0,http://www.smzdm.com/p/6451194/,3,'09-25 11:31','再特价：ALIENWARE 外星人 452-BBRT 显卡扩展坞',124,jd.com,1799,view
6451857,?,亚马逊中国,小罗伯特_唐尼,'2016-09-25 11:29:00',39元,4,0,6451857,国内,?,4,1,417,0,?,147477415568,母婴用品,'2016-09-27 20:41:58',http://www.smzdm.com/youhui/,http://go.smzdm.com/b95b468ac2c582a1/ca_aa_yh_75_6451857_417_25_77,?,'rel= nofollow',http://www.smzdm.com/mall/amazon_cn/,0,0,http://www.smzdm.com/p/6451857/,3,'09-25 11:29','凑单品：Dumex 多美滋 精确盈养 心护 较大婴儿配方奶粉 2段 400g',3,amazon.cn,39,dislike
6452107,?,NIKE中国官方商城,北京金城武,'2016-09-25 14:04:00',594元,26,0,6452107,国内,?,19,14,733,0,?,147478349995,运动户外,'2016-09-27 20:41:37',http://www.smzdm.com/youhui/,http://go.smzdm.com/4b8e03358e97f53b/ca_aa_yh_191_6452107_733_727_199,?,'rel= nofollow',http://www.smzdm.com/mall/nikestore_cn/,0,0,http://www.smzdm.com/p/6452107/,3,'09-25 14:04','NIKE 耐克 FREE RN FLYKNIT 女款跑鞋',46,nike.com,594,dislike
6450939,?,京东,天安国际,'2016-09-25 13:54:00',116.1元包邮（202.1元，双重优惠）,20,0,6450939,国内,?,5,3,829,0,?,147478289694,图书音像,'2016-09-27 20:41:37',http://www.smzdm.com/youhui/,http://go.smzdm.com/bb826b9f08989700/ca_aa_yh_7_6450939_829_0_1643,?,'rel= nofollow',http://www.smzdm.com/mall/jd/,0,0,http://www.smzdm.com/p/6450939/,3,'09-25 13:54',《迪士尼皮克斯动画电影漫画典藏》（套装共12册）+《所有人都要嗯嗯》,30,jd.com,116.1,dislike
6452047,?,网易考拉海购,zimo501754123,'2016-09-25 13:54:00',458元含税包邮（399-40）,34,0,6452047,跨境,?,16,3,860,0,?,147478286593,个护化妆,'2016-09-27 20:41:37',http://www.smzdm.com/kuajing/,http://go.smzdm.com/832864898d234563/ca_aa_yh_113_6452047_860_17127_115,?,'rel= nofollow',http://www.smzdm.com/mall/kaola/,0,0,http://www.smzdm.com/p/6452047/,3,'09-25 13:54','CPB 肌肤之钥 水磨精华液 170ml',28,kaola.com,458,dislike
6451532,?,京东,rbeebee,'2016-09-25 13:34:00',99元，2件起,10,0,6451532,国内,?,6,1,417,0,?,147478169892,母婴用品,'2016-09-27 20:41:37',http://www.smzdm.com/youhui/,http://go.smzdm.com/b6f26c5d577a48d4/ca_aa_yh_75_6451532_417_559_81,?,'rel= nofollow',http://www.smzdm.com/mall/jd/,0,0,http://www.smzdm.com/p/6451532/,3,'09-25 13:34','移动端：HUGGIES 好奇 银装 女婴成长裤 L100片',3,jd.com,99,dislike
6452022,?,亚马逊中国,?,'2016-09-25 13:31:00',9.25日限免书,156,0,6452022,国内,?,28,5,829,0,?,147478151991,图书音像,'2016-09-27 20:41:37',http://www.smzdm.com/youhui/,http://go.smzdm.com/0d3fc9cc925adddc/ca_aa_yh_7_6452022_829_0_9,?,'rel= nofollow',http://www.smzdm.com/mall/amazon_cn/,0,0,http://www.smzdm.com/p/6452022/,3,'09-25 13:31','亚马逊中国 kindle电子书 十一专场',149,amazon.cn,9.25,dislike
6451997,?,亚马逊海外购,冰上之血,'2016-09-25 13:27:00',￥87.02+￥28.02含税直邮（约￥115）,157,0,6451997,跨境,?,113,18,673,0,?,147478122390,服饰鞋包,'2016-09-27 20:41:37',http://www.smzdm.com/kuajing/,http://go.smzdm.com/2e9fe0f4e1d1232e/ca_aa_yh_57_6451997_673_2017_135,?,'rel= nofollow',http://www.smzdm.com/mall/amazon_b/,0,0,http://www.smzdm.com/p/6451997/,3,'09-25 13:27','Timberland 添柏岚 Cloudy Trifold 男士三折钱包',199,amazon.cn,87.02,view
6451251,?,亚马逊中国,迷失在风中,'2016-09-25 13:17:00',1299元包邮,37,0,6451251,国内,?,38,5,417,0,?,147478066789,母婴用品,'2016-09-27 20:41:37',http://www.smzdm.com/youhui/,http://go.smzdm.com/156a24fc08e4b79d/ca_aa_yh_75_6451251_417_13787_1965,?,'rel= nofollow',http://www.smzdm.com/mall/amazon_cn/,0,0,http://www.smzdm.com/p/6451251/,3,'09-25 13:17','MACLAREN 玛格罗兰 QUEST 运动型手推车',35,amazon.cn,1299,dislike
6452023,?,天猫精选,白菜君,'2016-09-25 13:16:00',2.0160925E7,54,0,6452023,国内,?,8,11,427,0,?,147478060088,日用百货,'2016-09-27 20:41:37',http://www.smzdm.com/youhui/,http://www.smzdm.com/tag/每日白菜/faxian/,?,?,http://www.smzdm.com/mall/tmall/,0,0,http://www.smzdm.com/p/6452023/,3,'09-25 13:16',午间白菜精选：晴雨伞、S型晾裤架、家具脚垫等,36,smzdm.com,20160925,view
6451760,?,京东,rbeebee,'2016-09-25 13:15:00',104元包邮（204-100）,21,0,6451760,国内,?,11,3,852,0,?,147478050787,母婴用品,'2016-09-27 20:41:37',http://www.smzdm.com/youhui/,http://go.smzdm.com/27662272cb3a8519/ca_aa_yh_75_6451760_852_581_83,?,'rel= nofollow',http://www.smzdm.com/mall/jd/,0,0,http://www.smzdm.com/p/6451760/,3,'09-25 13:15','AVENT 新安怡 SCF663/29 宽口径经典PES奶瓶9oz 260ml 对装+凑单品',27,jd.com,104,dislike
6451764,?,京东,rbeebee,'2016-09-25 12:54:00',137元包邮（237-100）,8,0,6451764,国内,?,19,11,417,0,?,147477925786,母婴用品,'2016-09-27 20:41:37',http://www.smzdm.com/youhui/,http://go.smzdm.com/362fb9fafe9d3291/ca_aa_yh_75_6451764_417_581_83,?,'rel= nofollow',http://www.smzdm.com/mall/jd/,0,0,http://www.smzdm.com/p/6451764/,3,'09-25 12:54','飞利浦 AVENT 新安怡 SCF782/20 自然啜饮杯 260ml*3件',11,jd.com,137,dislike
6451947,?,天猫精选,fafamomo,'2016-09-25 12:53:00',79元包邮,26,0,6451947,国内,?,38,10,857,0,?,147477922685,食品保健,'2016-09-27 20:41:37',http://www.smzdm.com/youhui/,http://detail.tmall.com/item.htm?id=18944005238,?,'rel= nofollow',http://www.smzdm.com/mall/tmall/,0,0,http://www.smzdm.com/p/6451947/,3,'09-25 12:53','Franziskaner 教士 纯麦黑啤酒 500ml*10瓶',32,tmall.com,79,dislike
6451994,?,京东,?,'2016-09-25 12:45:00',13999元包邮,363,0,6451994,国内,?,101,40,569,0,?,147477873084,家用电器,'2016-09-27 20:41:37',http://www.smzdm.com/youhui/,http://go.smzdm.com/65e4464c9a79e2d9/ca_aa_yh_27_6451994_569_273_29,?,'rel= nofollow',http://www.smzdm.com/mall/jd/,0,0,http://www.smzdm.com/p/6451994/,3,'09-25 12:45','新品首发：PHILIPS 飞利浦 Fidelio E6 5.1声道 家庭影院',99,jd.com,13999,view
