_id,article_tese_tags,article_is_timeout,article_title,article_comment,article_date,article_channel_id,link_nofollow,article_channel,article_collection,article_id,create_date,is_out,article_price,taobao_url,top_category,article_category,article_unworthy,article_referrals,article_mall_url,is_black_five,timesort,article_is_sold_out,article_url,article_link_list,article_author,article_link,article_worthy,article_item_title_mode,article_mall,article_link_domain,article_channel_url,article_date_full,real_price,action
6029672,?,0,每日更新：MYHABIT 多个女士美鞋专场,3,02-26 22:58,3,rel=”nofollow”,海淘,4,6029672,2016-02-27 00:23:32,false,可重点关注,?,服饰鞋包,?,1,?,http://www.smzdm.com/mall/myhabit/haitao/,0,145649870055,0,http://www.smzdm.com/p/6029672/,?,587,http://www.smzdm.com/gourl/FA6F1FD559E4D4F9/AA_HT_57,4,0,MYHABIT,myhabit.com,http://haitao.smzdm.com/,2016-02-26 22:58:00,0,dislike
6029305,?,0,海淘活动：苏宁易购海外购 闺蜜节,48,02-26 16:19,3,rel=”nofollow”,海淘,35,6029305,2016-02-27 00:23:37,false,SK-II 神仙水330ML低至897元,?,个护化妆,?,45,?,http://www.smzdm.com/mall/suning_g/haitao/,0,145647479809,0,http://www.smzdm.com/p/6029305/,?,419,http://www.smzdm.com/gourl/47AFAB4BE854E082/AA_HT_113,18,0,苏宁易购海外购,suning.com,http://haitao.smzdm.com/,2016-02-26 16:19:00,330,dislike
6029313,?,0,凑单品：Conair Professional Full and Mid Size Nylon Cushion 专业护发梳套装,48,02-26 16:17,3,rel=”nofollow”,海淘,104,6029313,2016-02-27 00:23:37,false,$2.17，可直邮,?,个护化妆,?,7,anyone-y,http://www.smzdm.com/mall/amazon/haitao/,0,145647464308,0,http://www.smzdm.com/p/6029313/,?,341,http://www.smzdm.com/gourl/CB3A65987001933A/AA_HT_113,16,0,美国亚马逊,amazon.com,http://haitao.smzdm.com/,2016-02-26 16:17:00,2.17,dislike
6029302,?,0,JVC 杰伟世 HAEB75B 耳挂式运动耳机,59,02-26 16:15,3,rel=”nofollow”,海淘,116,6029302,2016-02-27 00:23:37,false,$7.8 + $2.79直邮中国（约￥70）,?,电脑数码,?,28,?,http://www.smzdm.com/mall/amazon/haitao/,0,145647453205,0,http://www.smzdm.com/p/6029302/,?,293,http://www.smzdm.com/gourl/589B5E6E43A12016/AA_HT_163,44,0,美国亚马逊,amazon.com,http://haitao.smzdm.com/,2016-02-26 16:15:00,70,dislike
6026870,?,0,ExOfficio Give-N-Go Boxer Brief 男士平角速干内裤,70,02-26 15:37,3,rel=”nofollow”,海淘,42,6026870,2016-02-27 00:23:37,false,￥96.69+￥15.7直邮中国（约￥123）,?,服饰鞋包,?,72,?,http://www.smzdm.com/mall/amazon_b/haitao/,0,145647227199,0,http://www.smzdm.com/p/6026870/,?,305,http://www.smzdm.com/gourl/0F4E67EB8C9851FD/AA_HT_57,22,0,亚马逊海外购,amazon.cn,http://haitao.smzdm.com/,2016-02-26 15:37:00,96.69,dislike
6029208,?,0,Hello Kitty 凯蒂猫 女童套装,19,02-26 15:32,3,rel=”nofollow”,海淘,22,6029208,2016-02-27 00:23:39,false,￥61.68+￥21.68直邮中国（约￥84）,?,服饰鞋包,?,10,笨笨789,http://www.smzdm.com/mall/amazon_b/haitao/,0,145647194197,0,http://www.smzdm.com/p/6029208/,?,305,http://www.smzdm.com/gourl/8E9C856B4CCBCA20/AA_HT_57,20,0,亚马逊海外购,amazon.cn,http://haitao.smzdm.com/,2016-02-26 15:32:00,61.68,dislike
6029159,?,0,BADGLEY MISCHKA Salsa 女士高跟鞋,17,02-26 15:20,3,rel=”nofollow”,海淘,33,6029159,2016-02-27 00:23:39,false,$58.49（需用码，约￥440）,?,服饰鞋包,?,7,Alex_Wu,http://www.smzdm.com/mall/6pm/haitao/,0,145647123393,0,http://www.smzdm.com/p/6029159/,?,475,http://www.smzdm.com/gourl/99F4311B046E5765/AA_HT_57,30,0,6PM,6pm.com,http://haitao.smzdm.com/,2016-02-26 15:20:00,440,dislike
6029059,?,0,Nostalgia Electrics PCM805 复古棉花糖机,71,02-26 14:19,3,?,优惠,186,6029059,2016-02-27 00:23:39,false,299元包邮,?,家用电器,?,118,?,http://www.smzdm.com/mall/100yue/youhui/,0,145646757779,0,http://www.smzdm.com/p/6029059/,?,495,http://www.smzdm.com/gourl/992393A40035B1C6/AA_YH_27,29,0,百悦网,100yue.com,http://www.smzdm.com/youhui/,2016-02-26 14:19:00,299,dislike
6028909,?,0,Schwarzkopf 施华蔻 奢极黑金修护套装+多效修护套包,21,02-26 11:56,3,?,优惠,20,6028909,2016-02-27 00:23:42,false,124.6元包邮（178-53.4）,?,个护化妆,?,25,mr_high,http://www.smzdm.com/mall/jd/youhui/,0,145645896559,0,http://www.smzdm.com/p/6028909/,?,513,http://www.smzdm.com/gourl/946E1FEFFBBAFCA2/AA_YH_113,21,0,京东,jd.com,http://www.smzdm.com/youhui/,2016-02-26 11:56:00,124.6,dislike
6028692,?,0,限地区：EICHBAUM 爱士堡修士黑啤 5L,59,02-26 09:40,3,?,优惠,31,6028692,2016-02-27 00:23:46,false,59元,?,食品保健,?,23,?,http://www.smzdm.com/mall/jd/youhui/,0,145645081732,0,http://www.smzdm.com/p/6028692/,?,23,http://www.smzdm.com/gourl/D3C1072D6A4F9914/AA_YH_95,44,0,京东,jd.com,http://www.smzdm.com/youhui/,2016-02-26 09:40:00,59,dislike
